no,line,name,lat,lng,no
0,01hoseon,soyosan,37.9481,127.061034,100
1,01hoseon,dongducheon,37.927878,127.05479,101
2,01hoseon,bosan,37.913702,127.057277,102
3,01hoseon,dongducheonjungang,37.901885,127.056482,103
4,01hoseon,jihaeng,37.892334,127.055716,104
5,01hoseon,deokjeong,37.843188,127.061277,105
6,01hoseon,deokgye,37.818486,127.056486,106
7,01hoseon,yangju,37.774381,127.044708,107
8,01hoseon,nogyang,37.75938,127.042292,108
9,01hoseon,ganeung,37.748577,127.044213,109
10,01hoseon,uijeongbu,37.738415,127.045958,110
11,01hoseon,hoeryong,37.724846,127.046895,111
12,01hoseon,mangwolsa,37.709914,127.047455,112
13,01hoseon,dobongsan,37.689313,127.046222,113
14,01hoseon,dobong,37.679563,127.045595,114
15,01hoseon,banghak,37.667503,127.044273,115
16,01hoseon,changdong,37.653166,127.047731,116
17,01hoseon,nokcheon,37.644799,127.051269,117
18,01hoseon,wolgye,37.633212,127.058831,118
19,01hoseon,gwangundae,37.623632,127.061835,119
20,01hoseon,seokgye,37.614805,127.065851,120
21,01hoseon,sinimun,37.601854,127.067325,121
22,01hoseon,oedaeap,37.596073,127.063549,122
23,01hoseon,hoegi,37.58946,127.057583,123
24,01hoseon,cheongryangri,37.580178,127.046835,124
25,01hoseon,jegidong,37.578103,127.034893,125
26,01hoseon,sinseoldong,37.575297,127.025087,126
27,01hoseon,dongmyoap,37.572627,127.016429,127
28,01hoseon,dongdaemun,37.57142,127.009745,128
29,01hoseon,jongro5ga,37.570926,127.001849,129
30,01hoseon,jongro3ga,37.571607,126.991806,130
31,01hoseon,jonggak,37.570161,126.982923,131
32,01hoseon,sicheong,37.564718,126.977108,132
33,01hoseon,seouryeok,37.554648,126.972559,133
34,01hoseon,namyeong,37.541021,126.9713,134
35,01hoseon,yongsan,37.529849,126.964561,135
36,01hoseon,noryangjin,37.514219,126.942454,136
37,01hoseon,daebang,37.513342,126.926382,137
38,01hoseon,singil,37.517122,126.917169,138
39,01hoseon,yeongdeungpo,37.515504,126.907628,139
40,01hoseon,sindorim,37.508725,126.891295,140
41,01hoseon,guro,37.503039,126.881966,141
42,01hoseon,guil,37.496756,126.870793,142
43,01hoseon,gaebong,37.494594,126.85868,143
44,01hoseon,oryudong,37.494526,126.845365,144
45,01hoseon,onsu,37.492258,126.823388,145
46,01hoseon,yeokgok,37.485178,126.811502,146
47,01hoseon,sosa,37.482753,126.79544,147
48,01hoseon,bucheon,37.48405,126.782686,148
49,01hoseon,jungdong,37.486562,126.764843,149
50,01hoseon,songnae,37.4876,126.753664,150
51,01hoseon,bugae,37.488418,126.74109,151
52,01hoseon,bupyeong,37.489493,126.724805,152
53,01hoseon,baegun,37.483664,126.707704,153
54,01hoseon,dongam,37.471408,126.702896,154
55,01hoseon,ganseok,37.464737,126.694181,155
56,01hoseon,juan,37.464941,126.679923,156
57,01hoseon,dohwa,37.46607,126.668672,157
58,01hoseon,jemulpo,37.466769,126.656666,158
59,01hoseon,dowon,37.468446,126.642706,159
60,01hoseon,dongincheon,37.475276,126.632802,160
61,01hoseon,incheon,37.476691,126.616936,161
62,01hoseon,gasandijiteoldanji,37.481072,126.882343,P142
63,01hoseon,doksan,37.466613,126.889249,P143
64,01hoseon,geumcheongucheong,37.455626,126.89398,P144
65,01hoseon,gwangmyeong,37.416182,126.884466,P144-1
66,01hoseon,seoksu,37.435047,126.902295,P145
67,01hoseon,gwanak,37.419232,126.908706,P146
68,01hoseon,anyang,37.401592,126.922874,P147
69,01hoseon,myeonghak,37.384653,126.935433,P148
70,01hoseon,geumjeong,37.372221,126.943429,P149
71,01hoseon,gunpo,37.35356,126.948462,P150
72,01hoseon,dangjeong,37.344285,126.948345,P151
73,01hoseon,uiwang,37.320852,126.948217,P152
74,01hoseon,seonggyungwandae,37.300349,126.97075,P153
75,01hoseon,hwaseo,37.283862,126.989627,P154
76,01hoseon,suwon,37.265974,126.999874,P155
77,01hoseon,seryu,37.245025,127.013222,P156
78,01hoseon,byeongjeom,37.207503,127.032731,P157
79,01hoseon,seodongtan,37.195504,127.051672,P157-1
80,01hoseon,sema,37.187533,127.04318,P158
81,01hoseon,osandae,37.168953,127.063197,P159
82,01hoseon,osan,37.145885,127.06672,P160
83,01hoseon,jinwi,37.109447,127.062278,P161
84,01hoseon,songtan,37.075696,127.054301,P162
85,01hoseon,seojeongri,37.056496,127.052819,P163
86,01hoseon,jije,37.0188,127.070444,P164
